Image 1,Image 2,Player Name,Team Name,First Set,Total Cards,Released Date
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,MacKenzie Gore RC,Washington Nationals,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Juan Soto,San Diego Padres,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Giancarlo Stanton,New York Yankees,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Gerrit Cole,New York Yankees,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Tylor Megill RC,New York Mets,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Marcus Semien,Texas Rangers,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Pete Alonso,New York Mets,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Steven Kwan RC,Cleveland Guardians,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Alek Thomas RC,Arizona Diamondbacks,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Bryan De La Cruz RC,Miami Marlins,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,"Seiya Suzuki SP, VAR VAR: Image Variation (CMP ends with 326)",Chicago Cubs,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Wander Franco RC,Tampa Bay Rays,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,"Wander Franco SP, VAR VAR: Image Variation (CMP ends with 326)",Tampa Bay Rays,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Joe Ryan RC,Minnesota Twins,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,George Kirby RC,Seattle Mariners,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Nick Plummer RC,New York Mets,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Jazz Chisholm Jr.,Miami Marlins,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Juan Yepez RC,St. Louis Cardinals,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Seiya Suzuki RC,Chicago Cubs,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Shane Baz RC,Tampa Bay Rays,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Javier Baez,Detroit Tigers,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Oneil Cruz RC,Pittsburgh Pirates,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,"Oneil Cruz SP, VAR VAR: Image Variation (CMP ends with 326)",Pittsburgh Pirates,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Bo Bichette,Toronto Blue Jays,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Joey Gallo,Los Angeles Dodgers,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Josh Lowe RC,Tampa Bay Rays,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Jake Burger RC,Chicago White Sox,2022 Bowman Platinum, 100,NAN
